transaction_id,bank_transaction_id,timestamp,amount,currency,status,processing_status,settlement_date,bank_reference
TX0001,BN70001,2026-09-01 09:03:00,250,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000001
TX0002,BN70002,2026-09-01 09:08:00,500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000002
TX0003,BN70003,2026-09-01 09:15:00,250,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000003
TX0004,BN70004,2026-09-01 09:26:00,500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000004
TX0005,BN70005,2026-09-01 09:33:00,2500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000005
TX0006,BN70006,2026-09-01 09:38:00,500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000006
TX0007,BN70007,2026-09-01 09:45:00,499,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000007
TX0008,BN70008,2026-09-01 09:50:00,500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000008
TX0009,BN70009,2026-09-01 10:01:00,250,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000009
TX0010,BN70010,2026-09-01 10:04:00,100,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000010
TX0011,BN70011,2026-09-01 10:15:00,250,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000011
TX0012,BN70012,2026-09-01 10:18:00,5000,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000012
TX0013,BN70013,2026-09-01 10:26:00,500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000013
TX0014,BN70014,2026-09-01 10:34:00,1000,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000014
TX0015,BN70015,2026-09-01 10:41:00,999,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000015
TX0016,BN70016,2026-09-01 10:47:00,5000,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000016
TX0017,BN70017,2026-09-01 10:57:00,1500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000017
TX0018,BN70018,2026-09-01 11:00:00,999,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000018
TX0019,BN70019,2026-09-01 11:08:00,1000,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000019
TX0020,BN70020,2026-09-01 11:17:00,500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000020
TX0021,BN70021,2026-09-01 11:25:00,750,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000021
TX0022,BN70022,2026-09-01 11:31:00,750,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000022
TX0023,BN70023,2026-09-01 11:38:00,500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000023
TX0024,BN70024,2026-09-01 11:43:00,100,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000024
TX0025,BN70025,2026-09-01 11:52:00,5000,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000025
TX0026,BN70026,2026-09-01 11:56:00,2500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000026
TX0027,BN70027,2026-09-01 12:05:00,2500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000027
TX0028,BN70028,2026-09-01 12:13:00,750,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000028
TX0029,BN70029,2026-09-01 12:17:00,750,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000029
TX0030,BN70030,2026-09-01 12:26:00,2500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000030
TX0031,BN70031,2026-09-01 12:33:00,2500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000031
TX0032,BN70032,2026-09-01 12:40:00,100,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000032
TX0033,BN70033,2026-09-01 12:45:00,100,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000033
TX0034,BN70034,2026-09-01 12:53:00,1500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000034
TX0035,BN70035,2026-09-01 13:03:00,1500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000035
TX0036,BN70036,2026-09-01 13:08:00,500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000036
TX0037,BN70037,2026-09-01 13:16:00,999,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000037
TX0038,BN70038,2026-09-01 13:22:00,500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000038
TX0039,BN70039,2026-09-01 13:28:00,5000,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000039
TX0040,BN70040,2026-09-01 13:34:00,250,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000040
TX0041,BN70041,2026-09-01 13:42:00,999,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000041
TX0042,BN70042,2026-09-01 13:49:00,1500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000042
TX0043,BN70043,2026-09-01 13:56:00,500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000043
TX0044,BN70044,2026-09-01 14:05:00,250,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000044
TX0045,BN70045,2026-09-01 14:09:00,1500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000045
TX0046,BN70046,2026-09-01 14:17:00,1000,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000046
TX0047,BN70047,2026-09-01 14:26:00,500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000047
TX0048,BN70048,2026-09-01 14:30:00,750,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000048
TX0049,BN70049,2026-09-01 14:41:00,2500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000049
TX0050,BN70050,2026-09-01 14:47:00,250,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000050
TX0051,BN70051,2026-09-01 14:51:00,1500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000051
TX0052,BN70052,2026-09-01 15:00:00,1000,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000052
TX0053,BN70053,2026-09-01 15:09:00,750,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000053
TX0054,BN70054,2026-09-01 15:13:00,499,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000054
TX0055,BN70055,2026-09-01 15:21:00,5000,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000055
TX0056,BN70056,2026-09-01 15:30:00,100,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000056
TX0057,BN70057,2026-09-01 15:33:00,100,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000057
TX0058,BN70058,2026-09-01 15:44:00,500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000058
TX0059,BN70059,2026-09-01 15:47:00,5000,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000059
TX0060,BN70060,2026-09-01 15:55:00,5000,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000060
TX0061,BN70061,2026-09-01 18:00:00,500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000061
