transaction_id,gateway_transaction_id,timestamp,amount,currency,payment_method,status,settlement_status,merchant_id
TX0001,GW50001,2026-09-01 09:00:00,250,INR,UPI,SUCCESS,SETTLED,MERCHANT_003
TX0002,GW50002,2026-09-01 09:07:00,500,INR,CARD,SUCCESS,SETTLED,MERCHANT_003
TX0003,GW50003,2026-09-01 09:14:00,250,INR,WALLET,SUCCESS,SETTLED,MERCHANT_001
TX0004,GW50004,2026-09-01 09:21:00,500,INR,CARD,SUCCESS,SETTLED,MERCHANT_003
TX0005,GW50005,2026-09-01 09:28:00,2500,INR,CARD,SUCCESS,SETTLED,MERCHANT_003
TX0006,GW50006,2026-09-01 09:35:00,500,INR,WALLET,SUCCESS,SETTLED,MERCHANT_003
TX0007,GW50007,2026-09-01 09:42:00,499,INR,WALLET,SUCCESS,SETTLED,MERCHANT_002
TX0008,GW50008,2026-09-01 09:49:00,500,INR,NET_BANKING,SUCCESS,SETTLED,MERCHANT_001
TX0009,GW50009,2026-09-01 09:56:00,250,INR,NET_BANKING,SUCCESS,SETTLED,MERCHANT_002
TX0010,GW50010,2026-09-01 10:03:00,100,INR,WALLET,SUCCESS,SETTLED,MERCHANT_003
TX0011,GW50011,2026-09-01 10:10:00,250,INR,NET_BANKING,SUCCESS,SETTLED,MERCHANT_003
TX0012,GW50012,2026-09-01 10:17:00,5000,INR,CARD,SUCCESS,SETTLED,MERCHANT_003
TX0013,GW50013,2026-09-01 10:24:00,500,INR,NET_BANKING,SUCCESS,SETTLED,MERCHANT_001
TX0014,GW50014,2026-09-01 10:31:00,1000,INR,NET_BANKING,SUCCESS,SETTLED,MERCHANT_002
TX0015,GW50015,2026-09-01 10:38:00,999,INR,NET_BANKING,SUCCESS,SETTLED,MERCHANT_001
TX0016,GW50016,2026-09-01 10:45:00,5000,INR,CARD,SUCCESS,SETTLED,MERCHANT_003
TX0017,GW50017,2026-09-01 10:52:00,1500,INR,WALLET,SUCCESS,SETTLED,MERCHANT_002
TX0018,GW50018,2026-09-01 10:59:00,999,INR,UPI,SUCCESS,SETTLED,MERCHANT_001
TX0019,GW50019,2026-09-01 11:06:00,1000,INR,NET_BANKING,SUCCESS,SETTLED,MERCHANT_001
TX0020,GW50020,2026-09-01 11:13:00,500,INR,WALLET,SUCCESS,SETTLED,MERCHANT_002
TX0021,GW50021,2026-09-01 11:20:00,750,INR,CARD,SUCCESS,SETTLED,MERCHANT_001
TX0022,GW50022,2026-09-01 11:27:00,750,INR,WALLET,SUCCESS,SETTLED,MERCHANT_003
TX0023,GW50023,2026-09-01 11:34:00,500,INR,CARD,SUCCESS,SETTLED,MERCHANT_003
TX0024,GW50024,2026-09-01 11:41:00,100,INR,UPI,SUCCESS,SETTLED,MERCHANT_001
TX0025,GW50025,2026-09-01 11:48:00,5000,INR,UPI,SUCCESS,SETTLED,MERCHANT_002
TX0026,GW50026,2026-09-01 11:55:00,2500,INR,NET_BANKING,SUCCESS,SETTLED,MERCHANT_003
TX0027,GW50027,2026-09-01 12:02:00,2500,INR,NET_BANKING,SUCCESS,SETTLED,MERCHANT_003
TX0028,GW50028,2026-09-01 12:09:00,750,INR,WALLET,SUCCESS,SETTLED,MERCHANT_001
TX0029,GW50029,2026-09-01 12:16:00,750,INR,CARD,SUCCESS,SETTLED,MERCHANT_003
TX0030,GW50030,2026-09-01 12:23:00,2500,INR,CARD,SUCCESS,SETTLED,MERCHANT_001
TX0031,GW50031,2026-09-01 12:30:00,2500,INR,UPI,SUCCESS,SETTLED,MERCHANT_003
TX0032,GW50032,2026-09-01 12:37:00,100,INR,UPI,SUCCESS,SETTLED,MERCHANT_002
TX0033,GW50033,2026-09-01 12:44:00,100,INR,CARD,SUCCESS,SETTLED,MERCHANT_003
TX0034,GW50034,2026-09-01 12:51:00,1500,INR,UPI,SUCCESS,SETTLED,MERCHANT_003
TX0035,GW50035,2026-09-01 12:58:00,1500,INR,CARD,SUCCESS,SETTLED,MERCHANT_002
TX0036,GW50036,2026-09-01 13:05:00,500,INR,CARD,SUCCESS,SETTLED,MERCHANT_003
TX0037,GW50037,2026-09-01 13:12:00,999,INR,WALLET,SUCCESS,SETTLED,MERCHANT_003
TX0038,GW50038,2026-09-01 13:19:00,500,INR,CARD,SUCCESS,SETTLED,MERCHANT_001
TX0039,GW50039,2026-09-01 13:26:00,5000,INR,CARD,SUCCESS,SETTLED,MERCHANT_003
TX0040,GW50040,2026-09-01 13:33:00,250,INR,UPI,SUCCESS,SETTLED,MERCHANT_001
TX0041,GW50041,2026-09-01 13:40:00,999,INR,UPI,SUCCESS,SETTLED,MERCHANT_003
TX0042,GW50042,2026-09-01 13:47:00,1500,INR,CARD,SUCCESS,SETTLED,MERCHANT_003
TX0043,GW50043,2026-09-01 13:54:00,500,INR,WALLET,SUCCESS,SETTLED,MERCHANT_002
TX0044,GW50044,2026-09-01 14:01:00,250,INR,WALLET,SUCCESS,SETTLED,MERCHANT_002
TX0045,GW50045,2026-09-01 14:08:00,1500,INR,UPI,SUCCESS,SETTLED,MERCHANT_003
TX0046,GW50046,2026-09-01 14:15:00,1000,INR,NET_BANKING,SUCCESS,SETTLED,MERCHANT_001
TX0047,GW50047,2026-09-01 14:22:00,500,INR,WALLET,SUCCESS,SETTLED,MERCHANT_001
TX0048,GW50048,2026-09-01 14:29:00,750,INR,WALLET,SUCCESS,SETTLED,MERCHANT_001
TX0049,GW50049,2026-09-01 14:36:00,2500,INR,UPI,SUCCESS,SETTLED,MERCHANT_001
TX0050,GW50050,2026-09-01 14:43:00,250,INR,CARD,SUCCESS,SETTLED,MERCHANT_001
TX0051,GW50051,2026-09-01 14:50:00,1500,INR,CARD,SUCCESS,SETTLED,MERCHANT_002
TX0052,GW50052,2026-09-01 14:57:00,1000,INR,UPI,SUCCESS,SETTLED,MERCHANT_002
TX0053,GW50053,2026-09-01 15:04:00,750,INR,WALLET,SUCCESS,SETTLED,MERCHANT_003
TX0054,GW50054,2026-09-01 15:11:00,499,INR,CARD,SUCCESS,SETTLED,MERCHANT_002
TX0055,GW50055,2026-09-01 15:18:00,5000,INR,UPI,SUCCESS,SETTLED,MERCHANT_003
TX0056,GW50056,2026-09-01 15:25:00,100,INR,WALLET,SUCCESS,SETTLED,MERCHANT_003
TX0057,GW50057,2026-09-01 15:32:00,100,INR,UPI,SUCCESS,SETTLED,MERCHANT_001
TX0058,GW50058,2026-09-01 15:39:00,500,INR,WALLET,SUCCESS,SETTLED,MERCHANT_001
TX0059,GW50059,2026-09-01 15:46:00,5000,INR,UPI,SUCCESS,SETTLED,MERCHANT_003
TX0060,GW50060,2026-09-01 15:53:00,5000,INR,NET_BANKING,SUCCESS,SETTLED,MERCHANT_002
TX0061,GW50061,2026-09-01 16:00:00,500,INR,NET_BANKING,SUCCESS,SETTLED,MERCHANT_002
TX0062,GW50062,2026-09-01 16:07:00,1500,INR,NET_BANKING,SUCCESS,SETTLED,MERCHANT_001
TX0063,GW50063,2026-09-01 16:14:00,5000,INR,UPI,SUCCESS,SETTLED,MERCHANT_001
TX0064,GW50064,2026-09-01 16:21:00,2500,INR,NET_BANKING,SUCCESS,SETTLED,MERCHANT_001
TX0065,GW50065,2026-09-01 16:28:00,500,INR,NET_BANKING,SUCCESS,SETTLED,MERCHANT_002
TX0066,GW50066,2026-09-01 16:35:00,2500,INR,NET_BANKING,SUCCESS,SETTLED,MERCHANT_003
TX0067,GW50067,2026-09-01 16:42:00,2500,INR,NET_BANKING,SUCCESS,SETTLED,MERCHANT_003
TX0068,GW50068,2026-09-01 16:49:00,750,INR,UPI,SUCCESS,SETTLED,MERCHANT_001
TX0069,GW50069,2026-09-01 16:56:00,750,INR,NET_BANKING,SUCCESS,SETTLED,MERCHANT_003
TX0070,GW50070,2026-09-01 17:03:00,500,INR,NET_BANKING,SUCCESS,SETTLED,MERCHANT_003
TX0071,GW50071,2026-09-01 17:10:00,100,INR,UPI,FAILED,FAILED,MERCHANT_003
TX0072,GW50072,2026-09-01 17:17:00,100,INR,UPI,FAILED,FAILED,MERCHANT_002
TX0073,GW50073,2026-09-01 17:24:00,499,INR,WALLET,FAILED,FAILED,MERCHANT_003
TX0074,GW50074,2026-09-01 17:31:00,100,INR,UPI,FAILED,FAILED,MERCHANT_001
TX0075,GW50075,2026-09-01 17:38:00,100,INR,NET_BANKING,FAILED,FAILED,MERCHANT_003
TX0076,GW50076,2026-09-01 17:45:00,1000,INR,CARD,FAILED,FAILED,MERCHANT_001
TX0077,GW50077,2026-09-01 17:52:00,100,INR,NET_BANKING,FAILED,FAILED,MERCHANT_001
TX0078,GW50078,2026-09-01 17:59:00,999,INR,WALLET,SUCCESS,SETTLED,MERCHANT_003
TX0079,GW50079,2026-09-01 18:06:00,499,INR,CARD,SUCCESS,SETTLED,MERCHANT_002
TX0080,GW50080,2026-09-01 18:13:00,999,INR,WALLET,SUCCESS,SETTLED,MERCHANT_003
TX0081,GW50081,2026-09-01 18:20:00,499,INR,UPI,SUCCESS,SETTLED,MERCHANT_002
TX0082,GW50082,2026-09-01 18:27:00,500,INR,CARD,SUCCESS,SETTLED,MERCHANT_002
TX0083,GW50083,2026-09-01 18:34:00,500,INR,CARD,SUCCESS,SETTLED,MERCHANT_001
TX0084,GW50084,2026-09-01 18:41:00,999,INR,NET_BANKING,SUCCESS,SETTLED,MERCHANT_001
TX0085,GW50085,2026-09-01 18:48:00,2500,INR,WALLET,SUCCESS,SETTLED,MERCHANT_003
TX0086,GW50086,2026-09-01 18:55:00,100,INR,UPI,SUCCESS,SETTLED,MERCHANT_002
TX0087,GW50087,2026-09-01 19:02:00,100,INR,UPI,SUCCESS,SETTLED,MERCHANT_003
TX0088,GW50088,2026-09-01 19:09:00,999,INR,WALLET,SUCCESS,SETTLED,MERCHANT_003
TX0089,GW50089,2026-09-01 19:16:00,1000,INR,CARD,SUCCESS,SETTLED,MERCHANT_002
TX0090,GW50090,2026-09-01 19:23:00,100,INR,CARD,SUCCESS,SETTLED,MERCHANT_002
TX0091,GW50091,2026-09-01 19:30:00,999,INR,NET_BANKING,SUCCESS,SETTLED,MERCHANT_003
TX0092,GW50092,2026-09-01 19:37:00,2500,INR,NET_BANKING,SUCCESS,SETTLED,MERCHANT_003
TX0093,GW50093,2026-09-01 19:44:00,1000,INR,NET_BANKING,SUCCESS,SETTLED,MERCHANT_003
TX0094,GW50094,2026-09-01 19:51:00,1000,INR,WALLET,SUCCESS,SETTLED,MERCHANT_003
TX0095,GW50095,2026-09-01 19:58:00,1000,INR,UPI,SUCCESS,SETTLED,MERCHANT_002
TX0096,GW50096,2026-09-01 20:05:00,1000,INR,NET_BANKING,SUCCESS,SETTLED,MERCHANT_002
TX0097,GW50097,2026-09-01 20:12:00,500,INR,WALLET,SUCCESS,SETTLED,MERCHANT_003
TX0098,GW50098,2026-09-01 20:19:00,750,INR,NET_BANKING,SUCCESS,SETTLED,MERCHANT_001
TX0099,GW50099,2026-09-01 20:26:00,500,INR,CARD,SUCCESS,SETTLED,MERCHANT_001
TX0100,GW50100,2026-09-01 20:33:00,500,INR,WALLET,SUCCESS,SETTLED,MERCHANT_003
