transaction_id,ledger_entry_id,timestamp,amount,currency,entry_type,status,settlement_status
TX0001,LED90001,2026-09-01 09:05:00,250,INR,CREDIT,POSTED,SETTLED
TX0002,LED90002,2026-09-01 09:17:00,500,INR,CREDIT,POSTED,SETTLED
TX0003,LED90003,2026-09-01 09:17:00,250,INR,CREDIT,POSTED,SETTLED
TX0004,LED90004,2026-09-01 09:23:00,500,INR,CREDIT,POSTED,SETTLED
TX0005,LED90005,2026-09-01 09:36:00,2500,INR,CREDIT,POSTED,SETTLED
TX0006,LED90006,2026-09-01 09:37:00,500,INR,CREDIT,POSTED,SETTLED
TX0007,LED90007,2026-09-01 09:46:00,499,INR,CREDIT,POSTED,SETTLED
TX0008,LED90008,2026-09-01 09:57:00,500,INR,CREDIT,POSTED,SETTLED
TX0009,LED90009,2026-09-01 10:02:00,250,INR,CREDIT,POSTED,SETTLED
TX0010,LED90010,2026-09-01 10:11:00,100,INR,CREDIT,POSTED,SETTLED
TX0011,LED90011,2026-09-01 10:17:00,250,INR,CREDIT,POSTED,SETTLED
TX0012,LED90012,2026-09-01 10:19:00,5000,INR,CREDIT,POSTED,SETTLED
TX0013,LED90013,2026-09-01 10:27:00,500,INR,CREDIT,POSTED,SETTLED
TX0014,LED90014,2026-09-01 10:35:00,1000,INR,CREDIT,POSTED,SETTLED
TX0015,LED90015,2026-09-01 10:41:00,999,INR,CREDIT,POSTED,SETTLED
TX0016,LED90016,2026-09-01 10:49:00,5000,INR,CREDIT,POSTED,SETTLED
TX0017,LED90017,2026-09-01 10:57:00,1500,INR,CREDIT,POSTED,SETTLED
TX0018,LED90018,2026-09-01 11:06:00,999,INR,CREDIT,POSTED,SETTLED
TX0019,LED90019,2026-09-01 11:13:00,1000,INR,CREDIT,POSTED,SETTLED
TX0020,LED90020,2026-09-01 11:17:00,500,INR,CREDIT,POSTED,SETTLED
TX0021,LED90021,2026-09-01 11:30:00,750,INR,CREDIT,POSTED,SETTLED
TX0022,LED90022,2026-09-01 11:34:00,750,INR,CREDIT,POSTED,SETTLED
TX0023,LED90023,2026-09-01 11:37:00,500,INR,CREDIT,POSTED,SETTLED
TX0024,LED90024,2026-09-01 11:49:00,100,INR,CREDIT,POSTED,SETTLED
TX0025,LED90025,2026-09-01 11:57:00,5000,INR,CREDIT,POSTED,SETTLED
TX0026,LED90026,2026-09-01 11:58:00,2500,INR,CREDIT,POSTED,SETTLED
TX0027,LED90027,2026-09-01 12:05:00,2500,INR,CREDIT,POSTED,SETTLED
TX0028,LED90028,2026-09-01 12:11:00,750,INR,CREDIT,POSTED,SETTLED
TX0029,LED90029,2026-09-01 12:22:00,750,INR,CREDIT,POSTED,SETTLED
TX0030,LED90030,2026-09-01 12:27:00,2500,INR,CREDIT,POSTED,SETTLED
TX0031,LED90031,2026-09-01 12:39:00,2500,INR,CREDIT,POSTED,SETTLED
TX0032,LED90032,2026-09-01 12:42:00,100,INR,CREDIT,POSTED,SETTLED
TX0033,LED90033,2026-09-01 12:47:00,100,INR,CREDIT,POSTED,SETTLED
TX0034,LED90034,2026-09-01 12:55:00,1500,INR,CREDIT,POSTED,SETTLED
TX0035,LED90035,2026-09-01 13:06:00,1500,INR,CREDIT,POSTED,SETTLED
TX0036,LED90036,2026-09-01 13:13:00,500,INR,CREDIT,POSTED,SETTLED
